Price,High,Low,Close,Volume
Ticker,SBER.ME,SBER.ME,SBER.ME,SBER.ME
Date,,,,
2016-12-07,118.05826224569121,116.2837232490239,117.28831481933594,46918940
2016-12-08,123.90985107421875,117.81628623845718,123.90985107421875,98187850
2016-12-09,125.29575704217314,122.89793553637504,124.40849304199219,74497920
2016-12-12,131.20598947279194,125.64772825826947,128.6175079345703,114401960
2016-12-13,130.14274217606362,126.16835947786561,129.71743774414062,64580091
2016-12-14,130.4287302110146,126.39568340237237,127.3709487915039,53848710
2016-12-15,128.61019177201092,125.64774058838977,128.2655487060547,75039221
2016-12-16,129.82008808614611,127.22427777402426,127.51758575439453,50133350
2016-12-19,128.72752225346696,127.00430688617983,127.81092071533203,34213020
2016-12-20,129.6881009251707,126.87963285836497,128.98414611816406,31568321
2016-12-21,135.906344354045,128.06756599182526,128.111572265625,92678680
2016-12-22,128.58085749800014,124.65779876708984,124.65779876708984,67004212
2016-12-23,125.94837773431114,123.59455129487212,125.5010757446289,37355983
2016-12-26,127.00430397576108,125.50107524987091,126.10237121582031,21221700
2016-12-27,126.63765507887989,125.02443875213277,126.32234954833984,19784041
2016-12-28,127.31959858791687,124.73111724853516,124.73111724853516,37022030
2016-12-29,126.28567840003849,122.86125683046473,125.6110610961914,49661210
2016-12-30,127.04097747802734,125.06844911107478,127.04097747802734,35427288
2017-01-03,133.22251483371485,126.85763978074513,132.07859802246094,53895668
2017-01-04,131.55798618799875,127.75958365525388,129.0208282470703,41400772
2017-01-05,129.99610516829284,125.78706656893634,126.0510482788086,35093060
2017-01-06,127.40762684667192,124.2911812979044,125.16378784179688,35415591
2017-01-09,126.41035009444262,123.22791225916356,123.4478988647461,35187382
2017-01-10,126.34435693509381,122.85393115337168,125.83106231689453,58874130
2017-01-11,126.89431407409461,123.58720869655073,123.96118927001953,52772840
2017-01-12,125.13443044232247,123.2059085235287,123.38922882080078,49855540
2017-01-13,126.41034826297579,120.17012914856156,120.9180679321289,85990670
2017-01-16,122.31130195187728,120.30210750887599,120.74208068847656,37577470
2017-01-17,122.06932617080975,119.77415236078667,121.71001434326172,45968312
2017-01-18,123.04458698848248,120.48543158512143,121.16738891601562,42479950
2017-01-19,122.45063747329888,120.7640883948284,121.94467163085938,38479340
2017-01-20,123.33056295771814,121.29937096438366,122.81726837158203,32581560
2017-01-23,122.69993973697564,120.6467502195279,122.2746353149414,36457570
2017-01-24,125.17111509274582,122.6339680723225,124.84114074707031,45397960
2017-01-25,125.61107607623188,124.29116763347788,124.84845733642578,42544580
2017-01-26,127.87691627820412,123.96852588713843,127.43694305419922,56105000
2017-01-27,131.1986846923828,126.85766087673565,131.1986846923828,71123150
2017-01-30,130.52406615078095,127.76693260169766,128.03091430664062,45935720
2017-01-31,128.5221976113247,126.17570003551425,126.2710189819336,46486780
2017-02-01,127.78890738466838,125.9410357791854,127.51758575439453,42253259
2017-02-02,128.0969053023016,126.08771061868856,126.73300170898438,31064930
2017-02-03,127.73026176953358,126.3223631227734,127.44428253173828,34745010
2017-02-06,128.3095453006556,126.28569315268867,126.76232147216797,33944743
